"ip_address","ip_prefix","application_id"
"199.59.148.0",22,120
"192.133.76.0",22,120
"199.16.156.0",22,120
"199.96.58.0",23,120
"199.96.62.0",23,120
"208.67.216.0",21,197
"204.79.195.0",24,207
"204.79.196.0",23,207
"134.170.0.0",16,207
"131.253.12.0",22,207
"131.253.16.0",23,207
"131.253.18.0",24,207
"65.54.191.0",24,207
"46.137.128.0",18,178
"176.34.184.0",21,178
"23.246.0.0",18,133
"23.21.190.124",32,133
"69.53.224.0",19,133
"104.16.0.0",12,206
"173.245.48.0",20,206
"162.158.0.0",15,206
"141.101.125.0",24,206
"13.107.1.0",24,205
"13.107.3.0",24,205
"13.107.4.0",24,205
"13.107.5.0",24,205
"13.107.6.0",24,205
"13.107.7.0",24,205
"13.107.9.0",24,205
"13.107.12.0",24,205
"13.107.13.0",24,205
"13.107.15.0",24,205
"13.107.16.0",24,205
"178.248.208.0",21,204
"216.115.208.0",20,139
"216.219.112.0",20,139
"66.114.160.0",20,141
"54.169.63.160",27,144
"54.93.255.64",26,144
"52.0.252.0",22,144
"17.0.0.0",8,140
"108.160.160.0",20,121
"199.47.216.0",22,121
"45.58.64.0",20,121
"157.56.135.64",26,125
"157.56.185.0",26,125
"157.56.52.0",26,125
"157.56.53.128",25,125
"157.56.198.0",26,125
"157.60.0.0",16,125
"157.54.0.0",15,125
"13.107.3.128",32,125
"13.107.3.129",32,125
"111.221.64.0",18,125
"91.190.216.0",21,125
"40.127.129.109",32,125
"66.55.223.0",26,125
"5.42.160.0",19,211
"173.194.0.0",16,126
"74.125.0.0",16,126
"64.233.22.0",19,126
"216.58.192.0",19,126
"91.189.89.0",21,169
"149.154.164.0",22,185
"149.154.168.0",22,185
"185.42.204.93",32,195
"185.42.204.146",32,195
"185.42.204.164",32,195
"185.42.204.205",32,195
"185.42.204.48",32,195
"199.9.254.21",32,195
"199.9.254.25",32,195
"188.172.211.5",32,195
"192.16.70.22",32,195
"192.16.70.29",32,195
"192.16.70.80",32,195
"192.16.70.81",32,195
"199.9.254.163",32,195
"199.9.254.135",32,195
"185.42.205.133",32,195
"185.42.205.164",32,195
"192.16.65.154",32,195
"192.16.65.173",32,195
"192.16.65.114",32,195
"185.42.205.104",32,195
"185.42.205.85",32,195
"192.16.66.25",32,195
"192.16.66.26",32,195
"192.16.66.27",32,195
"188.172.210.5",32,195
"188.172.203.5",32,195
"192.16.65.60",32,195
"192.16.65.61",32,195
"192.16.65.62",32,195
"188.172.209.5",32,195
"188.172.208.5",32,195
"188.172.202.5",32,195
"185.42.205.6",32,195
"185.42.205.20",32,195
"185.42.204.243",32,195
"199.9.249.199",32,195
"199.9.249.201",32,195
"199.9.249.203",32,195
"199.9.251.164",32,195
"199.9.251.166",32,195
"199.9.251.170",32,195
"199.9.251.177",32,195
"199.9.251.232",32,195
"199.9.251.233",32,195
"199.9.251.234",32,195
"199.9.251.235",32,195
"199.9.251.251",32,195
"199.9.251.252",32,195
"199.9.251.253",32,195
"199.9.251.254",32,195
"199.9.255.75",32,195
"199.9.255.76",32,195
"199.9.249.116",32,195
"199.9.249.118",32,195
"199.9.249.120",32,195
"199.9.249.125",32,195
"199.9.249.133",32,195
"199.9.249.134",32,195
"199.9.249.135",32,195
"199.9.249.140",32,195
"199.9.249.197",32,195
"74.115.0.0",21,203
