"ip_address","ip_prefix","application_id"
"199.59.148.0",22,120
"192.133.76.0",22,120
"199.16.156.0",22,120
"199.96.58.0",23,120
"199.96.62.0",23,120
"208.67.216.0",21,197
"204.79.195.0",24,207
"204.79.196.0",23,207
"134.170.0.0",16,207
"131.253.12.0",22,207
"131.253.16.0",23,207
"131.253.18.0",24,207
"65.54.191.0",24,207
"46.137.128.0",18,178
"176.34.184.0",21,178
"23.246.0.0",18,133
"23.21.190.124",32,133
"69.53.224.0",19,133
"104.16.0.0",12,206
"173.245.48.0",20,206
"162.158.0.0",15,206
"141.101.125.0",24,206
"13.107.1.0",24,205
"13.107.3.0",24,205
"13.107.4.0",24,205
"13.107.5.0",24,205
"13.107.6.0",24,205
"13.107.7.0",24,205
"13.107.9.0",24,205
"13.107.12.0",24,205
"13.107.13.0",24,205
"13.107.15.0",24,205
"13.107.16.0",24,205
"178.248.208.0",21,204
"216.115.208.0",20,139
"216.219.112.0",20,139
"66.114.160.0",20,141
"54.169.63.160",27,144
"54.93.255.64",26,144
"52.0.252.0",22,144
"17.0.0.0",8,140
"108.160.160.0",20,121
"199.47.216.0",22,121
"45.58.64.0",20,121
"157.56.135.64",26,125
"157.56.185.0",26,125
"157.56.52.0",26,125
"157.56.53.128",25,125
"157.56.198.0",26,125
"157.60.0.0",16,125
"157.54.0.0",15,125
"13.107.3.128",32,125
"13.107.3.129",32,125
"111.221.64.0",18,125
"91.190.216.0",21,125
"40.127.129.109",32,125
"66.55.223.0",26,125
"5.42.160.0",19,211
"173.194.0.0",16,126
"74.125.0.0",16,126
"64.233.22.0",19,126
"216.58.192.0",19,126
"91.189.89.0",21,169
"149.154.164.0",22,185
"149.154.168.0",22,185
"1.42.18.49",32,163
"1.230.159.161",32,163
"2.13.233.133",32,163
"2.29.136.197",32,163
"2.33.88.91",32,163
"2.62.25.117",32,163
"2.85.214.47",32,163
"2.91.106.7",32,163
"2.92.178.254",32,163
"2.93.254.230",32,163
"2.94.131.167",32,163
"2.104.48.88",32,163
"2.106.238.119",32,163
"2.107.22.186",32,163
"2.139.216.169",32,163
"2.217.233.48",32,163
"2.225.141.134",32,163
"2.225.231.92",32,163
"2.230.136.176",32,163
"2.230.164.254",32,163
"2.231.245.29",32,163
"2.234.234.251",32,163
"2.235.42.133",32,163
"2.240.66.105",32,163
"2.240.102.126",32,163
"2.240.218.127",32,163
"2.241.131.204",32,163
"2.241.168.222",32,163
"2.242.242.23",32,163
"2.242.251.235",32,163
"2.244.205.55",32,163
"2.247.121.193",32,163
"4.34.200.253",32,163
"4.34.200.253",32,163
"5.1.84.125",32,163
"5.2.16.39",32,163
"5.9.2.204",32,163
"5.9.6.163",32,163
"5.9.21.19",32,163
"5.9.26.219",32,163
"5.9.26.219",32,163
"5.9.37.75",32,163
"5.9.39.113",32,163
"5.9.43.3",32,163
"5.9.43.80",32,163
"5.9.49.118",32,163
"5.9.51.148",32,163
"5.9.51.174",32,163
"5.9.54.44",32,163
"5.9.59.78",32,163
"5.9.67.124",32,163
"5.9.79.6",32,163
"5.9.79.154",32,163
"5.9.80.28",32,163
"5.9.83.204",32,163
"5.9.88.18",32,163
"5.9.89.189",32,163
"5.9.108.74",32,163
"5.9.108.86",32,163
"5.9.110.133",32,163
"5.9.110.236",32,163
"5.9.117.212",32,163
"5.9.123.81",32,163
"5.9.129.218",32,163
"5.9.138.155",32,163
"5.9.140.195",32,163
"5.9.151.241",32,163
"5.9.156.17",32,163
"5.9.158.68",32,163
"5.9.158.75",32,163
"5.9.169.46",32,163
"5.9.169.46",32,163
"5.9.191.52",32,163
"5.9.195.140",32,163
"5.9.212.206",32,163
"5.9.214.66",32,163
"5.9.227.94",32,163
"5.9.234.238",32,163
"5.13.62.129",32,163
"5.14.6.108",32,163
"5.14.48.180",32,163
"5.14.71.107",32,163
"5.14.202.230",32,163
"5.19.162.103",32,163
"5.19.179.10",32,163
"5.19.236.69",32,163
"5.34.183.15",32,163
"5.34.183.205",32,163
"5.34.183.207",32,163
"5.39.45.152",32,163
"5.39.60.241",32,163
"5.39.70.95",32,163
"5.39.76.36",32,163
"5.39.76.182",32,163
"5.39.77.208",32,163
"5.39.78.101",32,163
"5.39.79.181",32,163
"5.39.80.28",32,163
"5.39.80.135",32,163
"5.39.80.135",32,163
"5.39.82.192",32,163
"5.39.83.217",32,163
"5.39.84.217",32,163
"5.39.86.206",32,163
"5.39.87.156",32,163
"5.39.88.8",32,163
"5.39.88.19",32,163
"5.39.88.54",32,163
"5.39.89.124",32,163
"5.39.114.64",32,163
"5.39.122.66",32,163
"5.39.122.66",32,163
"5.42.10.229",32,163
"5.44.99.77",32,163
"5.44.99.161",32,163
"5.44.107.23",32,163
"5.45.72.36",32,163
"5.45.73.9",32,163
"5.45.77.17",32,163
"5.45.97.127",32,163
"5.45.98.111",32,163
"5.45.99.75",32,163
"5.45.104.141",32,163
"5.45.108.189",32,163
"5.54.250.196",32,163
"5.56.225.61",32,163
"5.56.228.208",32,163
"5.61.34.63",32,163
"5.61.38.11",32,163
"5.61.160.5",32,163
"5.79.68.161",32,163
"5.79.68.161",32,163
"5.79.71.195",32,163
"5.79.78.97",32,163
"5.79.81.192",32,163
"5.79.86.168",32,163
"5.100.118.166",32,163
"5.101.101.233",32,163
"5.101.102.82",32,163
"5.101.103.70",32,163
"5.103.104.140",32,163
"5.103.232.47",32,163
"5.104.90.29",32,163
"5.104.106.38",32,163
"5.129.245.77",32,163
"5.129.250.173",32,163
"5.135.6.172",32,163
"5.135.61.209",32,163
"5.135.61.218",32,163
"5.135.85.23",32,163
"5.135.143.84",32,163
"5.135.145.125",32,163
"5.135.148.171",32,163
"5.135.152.178",32,163
"5.135.152.208",32,163
"5.135.154.207",32,163
"5.135.155.121",32,163
"5.135.158.101",32,163
"5.135.159.4",32,163
"5.135.159.110",32,163
"5.135.159.207",32,163
"5.135.160.70",32,163
"5.135.162.28",32,163
"5.135.162.217",32,163
"5.135.163.147",32,163
"5.135.165.225",32,163
"5.135.177.183",32,163
"5.135.178.9",32,163
"5.135.181.213",32,163
"5.135.184.24",32,163
"5.135.185.145",32,163
"5.135.186.73",32,163
"5.135.186.157",32,163
"5.139.102.183",32,163
"5.145.49.106",32,163
"5.146.33.56",32,163
"5.147.14.164",32,163
"5.147.21.143",32,163
"5.147.112.54",32,163
"5.149.250.53",32,163
"5.149.250.164",32,163
"5.149.254.109",32,163
"5.149.254.114",32,163
"5.150.204.149",32,163
"5.150.213.244",32,163
"5.150.222.154",32,163
"5.150.239.136",32,163
"5.164.240.201",32,163
"5.166.221.194",32,163
"5.167.45.88",32,163
"5.167.108.83",32,163
"5.167.145.149",32,163
"5.172.140.193",32,163
"5.175.113.76",32,163
